food_name,Meal type,Category,Standalone dish,Veg/Non Veg,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg
Fruit salad (Phalon ka salaad),Side Dish,Lunch/Dinner,,,bowl,999.26,237.53,48.52,2.78,3.7,29.74,4.79,2081.01,826.41,502.02,8.25,78.83,70.27,53.38,21.6,541.95,2.45,0.22,3.61,0.03,0.83,0.85,0.54,43.65,0.37,3.39,0,59.93,0,45.4,0.11,0.13,0.58,0.43,0.34,4.27,45.4,52.45
Tomato onion raita (Tamatar aur pyaaz ka raita),Side Dish,Lunch/Dinner,,,bowl,441.09,104.83,12.58,6.64,3.27,10.62,1.73,1960.2,845.49,222.75,11,214.3,190.06,32.38,293.52,422.38,0.45,0.06,2.13,0,0.14,0.03,0.89,28,0.16,5.07,0,12.17,0,34.77,0.09,0.29,0.57,0.68,0.18,3.96,34.77,15.04
Peanut raita (Mungfali ka raita),Side Dish,Lunch/Dinner,,,bowl,774.34,184.48,11.41,10.54,11.02,8.72,2.32,3548.65,4486.91,2454.5,11,214.18,250.76,60.75,289.3,431.53,0.9,0.19,2.69,0,0.34,0.13,1.36,28,0.91,1.5,0,1.45,0,36.67,0.18,0.3,2.52,0.71,0.16,2.94,36.67,2.59
Sprouted moong raita,Side Dish,Lunch/Dinner,,,bowl,391.14,92.97,9.35,7.06,3.34,8.53,0.24,1969.85,869.51,237.7,11,212.88,191.06,28.35,288.85,318.73,1.32,0.01,2.01,0,0.07,0.02,0.88,28,0.06,0.08,0,0.95,0,27,0.11,0.3,0.4,0.63,0.15,2.61,27,3.59
Bottle gourd raita (Ghiya/Lauki ka raita),Side Dish,Lunch/Dinner,,,bowl,362.14,85.96,8.79,6.07,3.15,8.01,1.3,1940.57,821.28,170.17,11,211.09,180.57,26.82,287.58,357.73,0.35,0.03,2.9,0,0.08,0.02,0.8,28,0.07,0.45,0,2,0,39.49,0.08,0.28,0.32,0.79,0.12,3.89,39.49,4.76
Cucumber raita (Kheere ka raita),Side Dish,Lunch/Dinner,,,bowl,380.14,90.27,9.69,6.16,3.17,7.97,1.31,1951.94,824.8,171.67,11,211.57,186.73,31.54,290.02,387.23,0.45,0.03,2.1,0,0.06,0.02,0.81,28,0.07,0.71,0,5.05,0,26.92,0.07,0.28,0.43,0.73,0.14,4.02,26.92,5.65
Carrot and spinach raita (Gajar aur palak ka raita),Side Dish,Lunch/Dinner,,,bowl,424.89,100.96,10.37,7.12,3.53,8.76,2.48,2033.28,846.18,351.7,11,253.3,199.62,69.02,321.21,676.48,1.84,0.11,3.11,0.02,0.64,0.03,1.02,28,0.76,0.55,0,168.04,0,95.51,0.15,0.33,0.47,0.69,0.21,5.06,95.51,19.29
Mint raita (Pudinay ka raita),Side Dish,Lunch/Dinner,,,bowl,342.24,81.21,8,5.9,3.1,7.83,0.36,1922.35,819.77,144.74,11,207.48,173.87,23.55,287.19,306.51,0.39,0.02,2.23,0,0.04,0.04,0.74,28,0.07,0.15,0,4.23,0,20.62,0.06,0.28,0.27,0.51,0.11,2.66,20.62,2.94
Potato raita (Aloo ka raita),Side Dish,Lunch/Dinner,,,bowl,499.74,118.85,16.14,6.65,3.22,8.01,1.18,1943.81,827.11,208.65,11,208.61,196.44,34.59,289.11,593.28,0.53,0.06,2.42,0,0.1,0.02,0.88,28,0.09,0.19,0,2.12,0,27.03,0.1,0.28,0.82,0.72,0.17,3.36,27.03,15.33
Boondi raita,Side Dish,Lunch/Dinner,,,bowl,9310.58,2261.74,13.03,7.21,242.8,6.18,1.51,30322.6,49955.75,152395.8,8.25,161.16,157.46,24.33,326.19,262.15,0.78,0.07,2.01,0,0.22,0.01,0.75,21,118.49,0.03,0,17.13,0,37.83,0.1,0.23,0.45,0.54,0.14,3,37.83,0.77
