food_name,Meal type,Category,Standalone dish,Veg/Non Veg,servings_unit,unit_serving_energy_kj,unit_serving_energy_kcal,unit_serving_carb_g,unit_serving_protein_g,unit_serving_fat_g,unit_serving_freesugar_g,unit_serving_fibre_g,unit_serving_sfa_mg,unit_serving_mufa_mg,unit_serving_pufa_mg,unit_serving_cholesterol_mg,unit_serving_calcium_mg,unit_serving_phosphorus_mg,unit_serving_magnesium_mg,unit_serving_sodium_mg,unit_serving_potassium_mg,unit_serving_iron_mg,unit_serving_copper_mg,unit_serving_selenium_ug,unit_serving_chromium_mg,unit_serving_manganese_mg,unit_serving_molybdenum_mg,unit_serving_zinc_mg,unit_serving_vita_ug,unit_serving_vite_mg,unit_serving_vitd2_ug,unit_serving_vitd3_ug,unit_serving_vitk1_ug,unit_serving_vitk2_ug,unit_serving_folate_ug,unit_serving_vitb1_mg,unit_serving_vitb2_mg,unit_serving_vitb3_mg,unit_serving_vitb5_mg,unit_serving_vitb6_mg,unit_serving_vitb7_ug,unit_serving_vitb9_ug,unit_serving_vitc_mg
Hot tea (Garam Chai),Beverage,Breakfast,,,tea cup,143.48,33.98,5.43,0.82,1.12,5.42,0,676.75,303.5,34.5,0,29.9,24.21,2.18,6.56,29.35,0.05,0.01,0.24,0,0,0,0.09,0,0.05,0,0,0,0,1.8,0.01,0.03,0.02,0.09,0.01,0.51,1.8,0.5
Instant coffee,Beverage,Breakfast,,,tea cup,439.95,104.2,16.44,2.88,3.36,16.27,0,2030.25,910.5,103.5,0,93.9,81.84,16.35,22.13,200.25,0.27,0.06,0.98,0,0.07,0,0.29,0,0.17,0,0,0.13,0,5.6,0.02,0.09,0.8,0.25,0.03,3.49,5.6,1.51
Espresso coffee,Beverage,Breakfast,,,tea cup,343.94,81.7,10.49,2.77,3.39,10.36,0,2047.3,919.55,104.95,0,92.1,79.64,13.59,22.15,164.63,0.23,0.06,0.89,0,0.05,0,0.3,0,0.17,0,0,0.09,0,5.53,0.02,0.09,0.56,0.26,0.03,2.87,5.53,1.51
Iced tea,Beverage,Breakfast,,,tall glass,141.09,33.1,8.64,0.09,0.04,8.64,0,17.5,0,17.5,0,3.77,1.87,1.25,0.75,16.69,0.07,0.01,0.17,0,0,0,0.03,0,0,0,0,0.01,0,1.28,0.01,0,0.02,0.02,0.01,0.02,1.28,5.95
Raw mango drink (Aam panna),Beverage,Breakfast,,,tall glass,409.18,96.44,24.29,0.42,0.07,20.11,1.64,16.48,15.81,25.32,0,19,8.95,11.41,214.33,84.45,0.36,0.07,0.13,0.01,0.14,0.03,0.08,0,0.46,3.92,0,9.25,0,14.05,0.01,0.01,0.14,0.07,0.07,0.73,14.05,45.3
Fruit Punch (with fresh juices),Beverage,Breakfast,,,tall glass,837.66,196.6,51.06,0.76,0.18,50.33,0.33,33.78,7.09,54.88,0,27.59,55.75,17.4,14.33,181.99,0.56,0.05,0.17,0,0.69,0.02,0.12,0,0.25,0.27,0,3.06,0,24.57,0.09,0.02,0.22,0.24,0.08,0.83,24.57,41.44
Fruit Punch (with squashes),Beverage,Breakfast,,,tall glass,493.91,116.3,30.12,0.36,0.08,29.58,0.85,26.3,8.2,35.57,0,16.6,46.59,9.48,11.35,83.72,0.31,0.04,0.18,0,0.41,0.01,0.06,0,0.14,0.27,0,3.28,0,9.13,0.02,0.01,0.09,0.08,0.04,0.39,9.13,15.08
Lemonade,Beverage,Breakfast,,,glass,309.65,72.64,19.13,0.12,0.04,19.11,0.06,16.25,0.13,18.52,0,6.42,2.34,2.55,99.62,20.01,0.17,0.03,0.26,0,0.01,0.01,0.04,0,0,0.03,0,1.64,0,2.11,0,0,0.02,0.02,0.01,0.02,2.11,5.27
Lem-o-gin,Beverage,Breakfast,,,glass,326.9,76.76,19.81,0.29,0.1,19.21,0.46,33.58,5.23,47.1,0,7.84,5.66,6.65,100.37,50.54,0.31,0.04,0.26,0,0.3,0.01,0.07,0,0.03,0.34,0,3.56,0,2.92,0.01,0.01,0.05,0.04,0.02,0.1,2.92,5.68
Cumin infused water (Jeere/Zeere ka pani),Beverage,Breakfast,,,glass,129.54,30.8,6.32,0.57,0.37,4.95,1.57,49.14,135.67,113.62,0,36.75,15.15,17.89,642.49,108.95,1.07,0.06,0.44,0.01,0.79,0.06,0.14,0,0.05,1.94,0,5.99,0,3.14,0.03,0.01,0.17,0.04,0.02,0.12,3.14,3.61
Coco pine cooler,Beverage,Breakfast,,,tall glass,598.48,141.54,24.71,2.4,4.32,23.87,1.11,2711.24,1076.01,179.36,14.7,76.98,58.21,28.49,100.25,288.06,0.54,0.06,1.32,0,0.58,0.02,0.3,45.5,0.29,0.29,0,3.65,0,12.64,0.11,0.19,0.24,0.62,0.08,1.26,12.64,10.67
Summer cooler,Beverage,Breakfast,,,tall glass,471,110.95,26.87,1.85,0.18,25.78,0.97,52.99,9.27,83.33,0,40.22,56.67,37.71,7.78,460.35,1.37,0.04,0.83,0,0.78,0.02,0.21,0,0.76,0.69,0,11.43,0,63.89,0.17,0.06,0.53,0.61,0.14,2.25,63.89,103.5
Hot cocoa,Beverage,Breakfast,,,cup,722.43,172.09,17.64,6.42,8.72,17.2,0,5256.6,2401.2,266.4,0,217.1,193.69,30.66,46.23,252.4,0.6,0.18,1.71,0.01,0.02,0,0.81,0,0.42,0,0,0.05,0,13.79,0.06,0.2,0.19,0.61,0.07,3.56,13.79,3.62
Cold coffee with ice cream,Beverage,Breakfast,,,tall glass,864.12,204.56,33.9,4.73,6.36,33.71,0.02,3871.2,1712.4,204,3.53,160.68,135.61,21.88,41.74,272.16,0.37,0.09,1.53,0,0.08,0,0.49,10.92,0.32,0,0,0.13,0,9.49,0.05,0.17,0.86,0.53,0.05,4.65,9.49,2.53
Banana milkshake (Kele milkshake),Beverage,Breakfast,,,tall glass,947.8,225.63,31.6,6.37,8.19,27.49,0.88,4916.7,2191.05,301.24,0,216.42,182.33,27.35,47.02,353.88,0.46,0.12,1.71,0.01,0.16,0,0.67,0,0.43,0.08,0,0.88,0,19.83,0.06,0.21,0.34,0.75,0.28,4.18,19.83,6.84
Mango milkshake (Aam milkshake),Beverage,Breakfast,,,tall glass,850.1,202.28,25.71,6.14,8.34,25.41,0.94,4957.7,2252.3,314.44,0,221.6,179.52,21.94,47.19,281.08,0.55,0.12,2.66,0.02,0.13,0,0.67,0,0.54,1.86,0,2.38,0,53.68,0.07,0.22,0.28,0.67,0.13,4.36,53.68,20.1
Pineapple milkshake (Ananas milkshake),Beverage,Breakfast,,,tall glass,856.8,203.09,27.79,6.05,8.12,27.7,0,4872.6,2185.2,248.4,0,218.4,174.53,18.74,51.23,239.4,0.41,0.08,1.71,0.01,0.44,0,0.67,0,0.41,0,0,0,0,17.45,0.09,0.2,0.2,0.65,0.1,3.56,17.45,10.22
Orange milkshake (Narangi milkshake),Beverage,Breakfast,,,tall glass,771.6,183.44,22.71,5.96,8.06,22.62,0,4872.6,2185.2,248.4,0,215.4,177.23,16.94,46.73,234.6,0.34,0.07,1.71,0.01,0.03,0,0.61,0,0.45,0,0,0,0,16.85,0.07,0.2,0.17,0.65,0.08,3.71,16.85,10.82
Egg nog,Beverage,Breakfast,,N,tall glass,1237.3,294.82,24.72,14.5,15.51,24.47,0.06,7992.69,4662.39,909.14,183,309.97,325.46,27.3,123.37,349.45,1.31,0.13,22.54,0.01,0.05,0.01,1.43,99,1.29,0.23,0.42,0.3,7.3,41.91,0.1,0.36,0.25,1.55,0.18,13.88,41.91,4.82
Sweet Lassi (Meethi lassi),Beverage,Breakfast,,,tall glass,669,157.8,28.8,5.7,3,28.8,0,1910,790,100,11,202,170.2,19.4,81,281,0.14,0.02,2,0,0,0,0.72,28,0.05,0,0,0,0,18,0.06,0.27,0.2,0.5,0.1,2.6,18,1
Lassi (salted),Beverage,Breakfast,,,tall glass,336.18,79.76,7.86,5.73,3.04,7.8,0.08,1911.55,810.95,110.78,11,202.24,170.96,20.49,276.81,285.16,0.15,0,2.01,0,0.01,0.01,0.71,28,0.05,0.03,0,0.37,0,18.07,0.06,0.27,0.21,0.5,0.1,2.6,18.07,1.02
Cheese and chilli sandwich,Snack,Breakfast,,,triangle,511.04,121.6,15.28,3.79,5.45,1.33,1.16,2941.59,1269.43,195.89,12.85,63.44,50.16,10.51,243.91,79.34,0.55,0.05,2.55,0,0.18,0.01,0.31,54.3,0.14,0.13,0,3.26,0,16.14,0.08,0.05,0.56,0.05,0.04,0.99,16.14,12.3
Egg sandwich (Ande ka sandwich),Snack,Breakfast,,N,triangle,608.11,145.12,14.8,4.41,8.02,0.95,0.95,4281.88,2054.03,372.44,61.72,55.89,54.46,9.58,234.3,65.76,0.73,0.06,7.19,0,0.17,0.01,0.39,96.6,0.35,0.06,0.1,0.98,1.83,14.92,0.07,0.05,0.5,0.19,0.04,2.3,14.92,0
Cucumber sandwich (Kheere ka sandwich),Snack,Breakfast,,,triangle,481.64,114.57,15.65,2.92,4.86,1,1.49,2625.93,1098.8,174.67,10.65,53.36,37.85,13.13,220.31,93.59,0.62,0.06,2.17,0,0.19,0.01,0.28,47.9,0.12,0.38,0,2.85,0,12.96,0.07,0.03,0.57,0.12,0.04,0.72,12.96,1.53
Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),Snack,Breakfast,,,triangle,602.54,143.68,16.22,4.57,7.13,2.29,1.3,4046.99,1733.27,245.47,19.15,111.35,108.92,12,318.87,79.94,0.58,0.05,2.64,0,0.3,0.01,0.5,74.9,0.22,0.09,0,1.2,0,12.08,0.08,0.05,0.5,0.08,0.04,0.68,12.08,3.64
Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),Snack,Breakfast,,,triangle,594.41,141.73,15.68,4.61,7.15,1.66,1.15,4047.84,1733.97,255.57,19.15,111.38,109.49,12.21,320.21,86.51,0.58,0.05,2.63,0,0.19,0.01,0.51,74.9,0.2,1.54,0,3.97,0,12.18,0.08,0.05,0.56,0.09,0.04,0.71,12.18,3.16
Chicken sandwich,Snack,Breakfast,,N,triangle,619.53,147.53,14.78,7.64,6.84,0.93,0.95,2793.49,1319.13,240.26,24.5,52.17,70.81,12.57,226.98,114.22,0.69,0.11,6.31,0,0.17,0.01,0.41,49.47,0.18,0.06,0.31,0.8,6.26,11.1,0.09,0.04,2.3,0.26,0.14,0.94,11.1,0
Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),Snack,Breakfast,,,triangle,743.01,177.04,17.34,5.79,9.8,1.71,2.45,3633.84,3392.09,1620.56,10.65,57.13,81.57,34.14,221.73,153.59,0.96,0.17,2.56,0,0.38,0.07,0.65,47.9,0.68,2.43,0,4.13,0,22.04,0.14,0.04,1.96,0.15,0.06,0.36,22.04,3.16
Rainbow sandwich,Snack,Breakfast,,,triangle,547.87,130.44,16.39,3.7,6,1.93,1.01,3358.25,1403.29,196.67,14.9,82.28,71.67,9.77,292.92,68.86,0.58,0.05,2.39,0,0.17,0.01,0.36,61.4,0.17,0.06,0,1.03,0,10.38,0.1,0.04,0.55,0.04,0.03,0.33,10.38,1.01
Club sandwich,Snack,Breakfast,,,triangle,863.24,206.79,16.26,6.42,13.29,1.77,1.59,5369.95,5031.47,1428.3,27.47,101.65,112.5,16.34,405.68,148.51,0.76,0.07,3.28,0,0.2,0.01,0.77,71.08,1.04,1.68,0,11.92,0,17.42,0.14,0.08,1.17,0.31,0.09,1.74,17.42,6
Vegetarian club sandwich,Snack,Breakfast,,,triangle,687.59,164.37,16.31,4.52,9.39,1.72,1.7,3913.1,3261.81,1001.45,19.17,101.47,99.86,15.46,253.07,132.41,0.64,0.06,2.58,0,0.2,0.01,0.48,71.08,1.02,2.71,0,12.43,0,17.53,0.08,0.06,0.65,0.17,0.06,1.5,17.53,6
Pin wheel sandwich,Snack,Breakfast,,,triangle,361.09,86.84,3.9,2.44,6.95,0.41,0.26,796.19,3876.7,1646.84,50.04,18.89,31.11,3.82,104.36,30.75,0.38,0.02,5.6,0,0.05,0.01,0.22,30.6,1.85,0.03,0.1,0.21,1.83,9.04,0.02,0.04,0.13,0.2,0.03,2.34,9.04,0
Carrot apple sandwich (Gajar aur seb ka sandwich),Snack,Breakfast,,,triangle,875.07,208.22,28.25,5.15,8.87,5.15,3.56,5019.26,2150.23,611.68,20.48,114.8,95.08,30.62,294.55,222.52,1.75,0.13,3.5,0,0.61,0.44,0.76,86.85,0.24,0.44,0,14.49,0,21.7,0.12,0.07,1.4,0.2,0.09,1.67,21.7,2.7
Salami sandwich,Snack,Breakfast,,N,triangle,793.25,189.78,15.99,6.46,11.52,1.48,1.46,5104.72,4107.27,919.28,24.76,54.61,65.8,15.45,492.09,144.09,0.82,0.08,3.35,0,0.19,0.01,0.78,47.9,0.16,0.32,0,2.63,0,12.65,0.19,0.07,1.54,0.38,0.1,1.77,12.65,1.25
Vegetable and mayonnaise sandwich,Snack,Breakfast,,,triangle,696.82,166.83,15.85,3.06,10.52,1.6,1.61,3051.37,4517.77,1698.95,14.94,54.32,37.94,11.41,234.06,97.74,0.62,0.06,2.16,0,0.21,0.02,0.28,53.75,1.82,1.22,0,6.4,0,17.05,0.08,0.04,0.59,0.07,0.06,0.67,17.05,12.9
Egg and tomato sandwich (Ande aur tamatar ka sandwich),Snack,Breakfast,,N,triangle,555.27,132.15,15.41,4.56,6.25,1.24,1.05,3072.61,1643.19,364.13,56.9,56.95,56.8,10.77,251.84,89.53,0.78,0.06,7.24,0,0.18,0.01,0.41,73.95,0.4,0.8,0.1,2.31,1.83,16.33,0.08,0.05,0.59,0.21,0.05,2.43,16.33,1.98
Sweet open sandwich,Snack,Breakfast,,,triangle,605.89,144.11,23.15,2.94,4.81,7.22,1.39,2627.75,1049.31,171.08,10.65,50.26,35.69,13.42,121.11,136.27,0.68,0.08,2.14,0,0.23,0.01,0.25,47.9,0.13,0.08,0,0.84,0,13.05,0.07,0.03,0.59,0.08,0.13,0.33,13.05,1.65
Mushroom and cheese sandwich (toasted),Snack,Breakfast,,,triangle,720.61,172.27,15.92,5.9,9.85,1.6,1.73,5717.86,2413.11,397.94,26.6,130.56,149.12,16.03,345.85,150.26,0.64,0.07,2.76,0,0.21,0.01,0.6,105.6,0.24,5.2,0,4.31,0,12.7,0.08,0.07,0.66,0.19,0.06,3.03,12.7,0
Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),Snack,Breakfast,,,triangle,711.61,170.12,16.22,5.17,9.81,2.03,1.35,5714.05,2419.03,361.94,26.6,128.19,131.2,14.42,346.89,112.51,0.62,0.06,2.76,0,0.2,0.01,0.59,105.6,0.29,3.02,0,7.21,0,14.48,0.08,0.06,0.62,0.12,0.05,1,14.48,6.32
Pea potato sandwich (toasted) (Matar aloo ka sandwich),Snack,Breakfast,,,toasted triangle,615.55,146.56,22.37,4.09,4.82,1.18,2.56,512.34,855.78,2625.53,0,57.02,54.92,23.7,233.41,304.6,0.98,0.11,2.57,0,0.39,0.02,0.46,0,2.05,1.55,0,6.99,0,21.01,0.12,0.03,1.07,0.23,0.09,0.99,21.01,14.11
Paneer pea sandwich (toasted) (Paneer matar ka sandwich),Snack,Breakfast,,,toasted triangle,930.35,221.79,21.38,11.02,10.64,5.68,1.88,4035.31,2570.26,2749.53,0,243.61,169.56,24.72,238.98,113.62,1.12,0.11,11.53,0.04,0.38,0.02,1.45,0,2.04,1.53,0,6.14,0,52.13,0.1,0.07,0.7,0.28,0.07,8.86,52.13,4.85
Chicken sandwich (toasted),Snack,Breakfast,,N,toasted triangle,603.28,143.1,16.09,10.33,4.54,1.82,1.4,976.22,620.66,182.19,22.72,85.49,126.5,17.67,280.05,174.04,0.85,0.14,8,0,0.21,0.01,0.63,15.59,0.15,0.21,0.41,3.42,8.34,20.71,0.11,0.06,3,0.43,0.21,2.24,20.71,12.97
Pea keema sandwich (toasted) (Matar aur keema ka sandwich),Snack,Breakfast,,,toasted triangle,612.37,145.39,17.14,9.36,4.75,1.64,2.08,1881.01,1624.2,232.69,23.1,59.91,97.8,22.17,245.52,198.36,1.28,0.11,2.91,0,0.36,0.02,1.43,1.5,0.12,1.55,0,6.34,0,18.29,0.14,0.08,2.12,0.38,0.12,1.31,18.29,5.5
Classic club sandwich,Snack,Breakfast,,,triangle,1878.08,448.86,41.33,15.06,25.84,4.15,3.63,10353.71,8945.36,3343.8,140.52,240.77,286.03,44.74,620.2,374.52,2.44,0.18,17.61,0,0.55,0.01,1.62,217.16,3.2,2.62,0.21,46.46,3.65,56.9,0.26,0.19,1.96,0.8,0.23,7.92,56.9,16.19
Sesame toast,Snack,Breakfast,,,toasted triangle,1275.41,309.18,6.96,1.19,30.83,0.91,0.82,3700.44,6348.79,19348.64,0,27.13,22.89,9.58,80.4,108.01,0.45,0.05,0.87,0,0.09,0.02,0.18,0,14.93,0.64,0,4.4,0,8.87,0.05,0.01,0.35,0.07,0.04,0.37,8.87,6.92
Cracked wheat porridge (Meetha daliya),Snack,Breakfast,,,bowl,1374.58,328.71,35.75,10.65,16.44,20.63,2.5,7367.5,4060,3510,0,305.8,241.48,20.86,64.05,287.9,1.3,0.09,2.38,0.01,0.03,0,0.83,0,3.01,0,0,0.31,0,17.58,0.08,0.28,0.2,0.85,0.1,4.95,17.58,5.03
Semolina porridge (Suji/Rava daliya),Snack,Breakfast,,,bowl,1176.1,280.49,34.44,10.43,11.35,20.95,1.94,6785.27,3048.47,410,0,301.68,265.28,28.44,64.51,344.7,0.99,0.18,4.56,0.01,0.42,0.02,1.26,0,0.59,1.64,0,0.24,0,22.71,0.13,0.28,0.43,1,0.12,5.04,22.71,5.03
Oatmeal Porridge,Snack,Breakfast,,,bowl,1219.7,289.96,34.89,10.33,12.82,20.68,1.56,7023.5,3657,983,0.06,305.8,318.88,43.66,64.25,362.3,1.12,0.16,2.97,0.01,0.76,0,1.29,0,0.67,0,0,0,0,23.98,0.28,0.28,0.36,1,0.17,8.75,23.98,5.03
Cornflakes with milk,Snack,Breakfast,,,bowl,1372.5,326.17,41.56,9.98,14.23,27.73,2.16,7741.8,4254.6,1030.2,0,296,301.42,41.63,73.8,369.4,1.18,0.17,4.08,0.01,0.66,0,1.28,0,0.94,0,0,0,0,43.87,0.38,0.58,1.39,0.91,0.15,7.42,43.87,4.82
Rice flakes (Chiwda/Aval),Snack,Breakfast,,,bowl,1310.4,312.58,43.28,10.06,11.09,20.24,1.04,6582,3041.1,504.3,0,286.76,290.32,43.41,62.28,320.8,1.71,0.16,2.28,0.02,0.29,0.05,1.25,0,0.54,0,0,0.3,0,19.41,0.11,0.28,0.67,0.96,0.1,4.87,19.41,4.82
Wheat flakes,Snack,Breakfast,,,bowl,1310.4,312.58,43.28,10.06,11.09,20.24,1.04,6582,3041.1,504.3,0,286.76,290.32,43.41,62.28,320.8,1.71,0.16,2.28,0.02,0.29,0.05,1.25,0,0.54,0,0,0.3,0,19.41,0.11,0.28,0.67,0.96,0.1,4.87,19.41,4.82
Murmura (Puffed rice),Snack,Breakfast,,,bowl,1320.6,315.02,43.56,10.06,11.24,20.33,0.77,6510.85,2925.53,344.64,0,288.53,277.42,39.41,62.61,318.4,1.74,0.16,2.28,0.02,0.3,0.03,1.24,0,0.54,0,0,0.3,0,16.87,0.1,0.28,0.75,0.93,0.12,5.13,16.87,4.82
Puffed wheat (Murmure/Moori),Snack,Breakfast,,,bowl,1320.6,315.02,43.56,10.06,11.24,20.33,0.77,6510.85,2925.53,344.64,0,288.53,277.42,39.41,62.61,318.4,1.74,0.16,2.28,0.02,0.3,0.03,1.24,0,0.54,0,0,0.3,0,16.87,0.1,0.28,0.75,0.93,0.12,5.13,16.87,4.82
Boiled egg (Ubla anda),Snack,Breakfast,,N,egg,286.55,68.49,0.18,6.69,4.59,0,0.17,1482.27,1742.81,581.38,183,26.8,93.22,7.37,258.12,76.88,0.97,0.04,20.28,0,0.05,0.02,0.62,99,0.76,0.13,0.42,0.86,7.3,24.77,0.03,0.1,0.06,0.74,0.08,9.14,24.77,0
Fried Egg,Snack,Breakfast,,N,egg,536.03,129.17,0.18,6.69,11.33,0,0.17,2292.27,3126.56,4854.13,183,26.8,93.22,7.37,258.12,76.88,0.98,0.04,20.28,0,0.05,0.02,0.62,99,4.08,0.13,0.42,1.28,7.3,24.77,0.03,0.1,0.06,0.74,0.08,9.14,24.77,0
Poached egg,Snack,Breakfast,,N,egg,290.11,69.37,0.21,6.71,4.59,0.03,0.17,1482.27,1742.81,581.38,183,27.01,93.64,8.28,651.32,79.13,0.98,0.05,20.32,0,0.05,0.02,0.63,99,0.76,0.13,0.42,0.86,7.3,24.77,0.03,0.1,0.06,0.74,0.08,9.14,24.77,0
Scrambled egg (Ande ki bhurji),Snack,Breakfast,,N,egg,454.66,109.18,0.95,7.2,8.55,0.76,0.17,3971.92,2761.31,715.28,191.52,45.22,108.63,8.69,262.26,95.21,0.99,0.05,20.42,0,0.05,0.02,0.68,137.32,0.87,0.13,0.42,1.15,7.3,25.82,0.03,0.11,0.07,0.79,0.09,9.44,25.82,0.3
Baked egg,Snack,Breakfast,,N,egg,925.8,221.04,15.57,12,12.78,1.68,1.04,6234.77,3739.31,847.38,206.4,165.69,238.38,18.11,528.52,145.13,1.5,0.09,23.13,0,0.2,0.02,1.23,187.4,0.96,0.13,0.42,1.47,7.3,35.72,0.11,0.16,0.55,0.83,0.11,9.99,35.72,0
Plain omelette/omlet,Snack,Breakfast,,N,omelette,1612.22,389.55,0.92,13.82,36.81,0.74,0.17,6607.32,9200.42,18269.08,366,69.21,200.21,14.61,323.44,163.13,1.93,0.09,40.64,0,0.06,0.02,1.29,198,14.84,0.13,0.84,2.56,14.61,50.48,0.06,0.21,0.13,1.52,0.17,18.55,50.48,0.3
Stuffed egg omelette/omlet,Snack,Breakfast,,N,omelette,2209.48,533.21,6.03,22.54,46.57,4.11,1.97,12478.76,11849.49,18790.03,404.47,235.56,477.85,37.07,700.03,423.71,2.4,0.16,43.63,0,0.19,0.03,2.37,303.82,15.13,8.4,0.84,13.53,14.61,70.23,0.22,0.31,1.51,2.06,0.35,23.64,70.23,8.29
Pancake,Snack,Breakfast,,,pancake,357.74,85.97,8.66,2.4,4.57,1.4,0.28,1169.36,1068.03,2015.61,15.19,33.6,42.82,5.73,60.75,49.39,0.29,0.03,1.92,0,0.07,0,0.22,8.22,1.6,0.67,0.03,0.29,0.61,5.43,0.02,0.04,0.1,0.22,0.02,1.31,5.43,0.5
Keema pancake,Snack,Breakfast,,,pancake,809.19,194.58,10.55,9.94,12.41,2.42,0.93,5270.56,3771.68,2371.99,51.25,45.22,122.17,18.71,138.42,219.02,1.02,0.08,2.73,0,0.18,0.01,1.61,42.42,1.77,2.35,0.03,4.75,0.61,12.23,0.08,0.12,2.02,0.63,0.13,2.56,12.23,4.64
Vegetable pancake,Snack,Breakfast,,,pancake,609.83,146.64,14.33,4.53,7.7,2.44,2.9,3016.03,1849.41,2250.43,22.63,50.24,74.09,23.32,136.71,270.29,0.92,0.1,2.43,0,0.24,0.01,0.56,41.2,1.8,4.93,0.03,16.33,0.61,28.57,0.1,0.07,0.65,0.54,0.12,2.91,28.57,20.63
Jam and fruit pancake,Snack,Breakfast,,,pancake,444.27,106.57,13.63,2.49,4.61,5.16,0.79,1179.16,1073.87,2027.6,15.19,35.56,45.08,7.83,61.23,72.63,0.34,0.04,1.93,0,0.27,0.01,0.24,8.22,1.67,0.71,0.03,0.66,0.61,8.42,0.03,0.05,0.12,0.24,0.05,1.48,8.42,6.48
Khoa and coconut pancake,Snack,Breakfast,,,pancake,810.24,193.51,19.44,4.97,10.88,11.72,1.18,4979.99,1960.81,2163.01,15.19,111.86,107.64,16.09,71.86,146.17,0.8,0.07,7.55,0.02,0.18,0.01,0.57,8.22,1.81,0.74,0.03,2.04,0.61,19.12,0.04,0.06,0.18,0.28,0.04,3.91,19.12,0.73
Brown stock,Soup,Lunch/Dinner,,,cup,433.78,103.65,1.22,9.47,6.73,0.68,0.46,14.48,7.95,37.28,0,83.43,81.58,3.49,216.78,178.28,1.44,0.02,0.12,0,0.07,0.01,0.05,0,0.02,0.2,0,1.79,0,6.33,0.1,0.07,3.46,0.04,0.02,0.22,6.33,1.5
Vegetable stock,Soup,Lunch/Dinner,,,cup,302.58,73.13,3.99,1.25,5.72,1.84,1.59,3545.89,1428.38,279.21,14.38,21.11,22.57,10.96,206.67,124.83,0.49,0.06,0.4,0,0.17,0.02,0.22,64.67,0.18,1.65,0,8.44,0,13.92,0.04,0.02,0.26,0.17,0.06,0.96,13.92,7.58
Chicken stock,Soup,Lunch/Dinner,,N,cup,470.02,112.33,1.38,13.86,5.68,0.74,0.39,523.84,628.65,250.04,38.47,13.42,115.88,15.98,220.23,210.97,0.69,0.19,11.67,0,0.08,0.01,0.54,4.35,0.19,0.16,0.86,0.99,17.38,10.19,0.07,0.04,5.09,0.76,0.34,2.9,10.19,0.84
Clear tomato soup (Tamatar ka soup),Soup,Lunch/Dinner,,,soup bowl,1315.84,318.41,13.72,19.06,48.61,5.71,7.81,3385.88,5622.76,17426.95,0,115.5,200.07,89.02,20422.28,926.31,4.55,0.22,0.82,0.01,0.92,0.05,0.92,0,13.8,24.4,0,56.96,0,43.91,0.11,0.06,1.28,0.49,0.21,3.05,43.91,53.16
Lentil soup,Soup,Lunch/Dinner,,,soup bowl,505.42,121.31,15.35,37.57,45.46,4.11,10.02,2212.02,902.34,427.98,8.52,157.9,377.13,142.5,40553.26,1363.3,8.79,0.38,7.74,0.01,1.38,0.15,1.82,38.32,0.37,7.52,0,31.8,0,34.92,0.1,0.06,0.76,0.53,0.16,2.2,34.92,17.9
Chicken consomme (Clear chicken soup),Soup,Lunch/Dinner,,N,soup bowl,450.09,108.31,2.68,25.91,27.15,1.22,3.54,1851.59,2722.24,1346.15,38.4,80.15,231.43,73.07,20226.27,689.87,4.12,0.14,8.65,0,0.81,0.05,1.03,21.6,0.1,0.8,0.18,10.51,0,11.38,0.04,0.08,3.05,0.75,0.21,2.01,11.38,2.1
Cream of tomato soup,Soup,Lunch/Dinner,,,soup bowl,1870.89,452.28,18.16,21.32,60.65,8.36,6.36,10979.6,8779.1,17781.56,25.29,183.14,262.51,91.34,20628.69,950.97,4.41,0.21,1.29,0.01,0.69,0.05,1.11,120.29,14.11,24.06,0,53.14,0,44.01,0.13,0.15,1.29,0.68,0.22,4.36,44.01,53.23
Cream of green peas soup,Soup,Lunch/Dinner,,,soup bowl,2163.54,522.23,27.58,29.11,60.38,6.58,12.05,10918.91,8752.11,17664.9,25.29,208.39,311.02,122.44,20423.76,991.03,6.06,0.43,3.58,0.01,1.12,0.09,2.31,120.29,13.98,16.88,0,67.13,0,88.58,0.39,0.16,1.92,1.23,0.32,7.58,88.58,52.28
Cream of spinach soup,Soup,Lunch/Dinner,,,soup bowl,1924.58,465.12,15.94,24.12,61.58,5.23,8.05,11258.1,8805.63,18126.64,25.29,327.4,298.11,241.92,20493.62,1869.62,9.72,0.48,5.51,0.06,2.74,0.06,1.81,120.29,16.26,1.17,0,655.23,0,298.06,0.37,0.31,0.92,0.77,0.36,10.48,298.06,63.34
Cream of mixed vegetable soup,Soup,Lunch/Dinner,,,soup bowl,900.27,216.16,17.87,24.81,32.79,7.6,7.77,7304.67,3090.43,621.88,25.54,236.5,341.87,98.02,20495.35,927.27,4.94,0.27,2.32,0.01,0.82,0.07,1.73,103.64,0.61,13.04,0,41.23,0,54.46,0.21,0.13,1.16,0.86,0.23,5.21,54.46,39.02
Cream of mushroom soup,Soup,Lunch/Dinner,,,soup bowl,1817.53,439.83,14.04,24.9,58.13,7.24,5.01,10959.04,8741.01,17789.35,25.29,264.63,401.02,91.16,19786.8,936.77,6.79,0.3,0.92,0.01,0.71,0.05,2.09,120.29,13.69,16.15,0,16.32,0,30.72,0.06,0.13,0.81,0.78,0.19,10.29,30.72,5.79
